,Year,Month,Day,Record Create Date,Precinct Code,Patrol Borough,County,Law Code Category,Bias Motive,Offense Category
2976,2023,Oct,Mon,2023-10-23,20,Manhattan north,NEW YORK,Misdemeanor,Anti-jewish,Religion
2977,2023,Dec,Fri,2023-12-01,24,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
2978,2023,Dec,Sun,2023-12-24,24,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
2979,2023,Oct,Fri,2023-10-27,26,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
2980,2023,Nov,Fri,2023-11-03,26,Manhattan north,NEW YORK,Misdemeanor,Anti-jewish,Religion
2981,2023,Nov,Thu,2023-11-02,48,Bronx,BRONX,Felony,Anti-jewish,Religion
2982,2023,Jul,Wed,2023-07-05,61,Brooklyn south,KINGS,Felony,Anti-other ethnicity,Cultural Identity
2983,2023,Nov,Sat,2023-11-11,61,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
2984,2023,Apr,Fri,2023-04-14,63,Brooklyn south,KINGS,Misdemeanor,Anti-gender non-conforming,Gender
2985,2023,Apr,Wed,2023-04-26,66,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
2986,2023,Dec,Tue,2023-12-26,75,Brooklyn north,KINGS,Misdemeanor,Anti-other ethnicity,Cultural Identity
2987,2023,Sep,Thu,2023-06-15,77,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
2988,2023,Nov,Wed,2023-11-29,77,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
2989,2023,Oct,Wed,2023-11-01,84,Brooklyn north,KINGS,Misdemeanor,Anti-jewish,Religion
2990,2023,Sep,Sun,2023-09-17,109,Queens north,QUEENS,Felony,Anti-jewish,Religion
2991,2023,Mar,Tue,2023-03-21,112,Queens north,QUEENS,Felony,Anti-jewish,Religion
2992,2023,Nov,Thu,2023-11-02,121,Staten island,RICHMOND,Felony,Anti-jewish,Religion
2993,2023,Aug,Fri,2023-08-04,122,Staten island,RICHMOND,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
2994,2023,Dec,Fri,2023-12-29,122,Staten island,RICHMOND,Misdemeanor,Anti-jewish,Religion
2995,2024,Aug,Sat,2024-08-17,7,Manhattan south,NEW YORK,Felony,Anti-asian,Race/Color
2996,2024,Apr,Tue,2024-05-07,10,Manhattan south,NEW YORK,Misdemeanor,Anti-jewish,Religion
2997,2024,Sep,Tue,2024-09-03,10,Manhattan south,NEW YORK,Misdemeanor,Anti-other ethnicity,Cultural Identity
2998,2024,Apr,Fri,2024-04-12,14,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
2999,2024,Feb,Fri,2024-03-22,19,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
3000,2024,Mar,Wed,2024-03-27,19,Manhattan north,NEW YORK,Felony,Anti-male homosexual (gay),Sexual Orientation
3001,2024,Jul,Sat,2024-07-27,19,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
3002,2024,Feb,Mon,2024-02-26,34,Manhattan north,NEW YORK,Misdemeanor,Anti-jewish,Religion
3003,2024,Feb,Mon,2024-02-05,44,Bronx,BRONX,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
3004,2024,Feb,Wed,2024-02-21,48,Bronx,BRONX,Misdemeanor,Anti-black,Race/Color
3005,2024,May,Wed,2024-05-29,60,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
3006,2024,Apr,Fri,2024-04-19,61,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
3007,2024,Jun,Tue,2024-06-11,61,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
3008,2024,Sep,Fri,2024-09-20,61,Brooklyn south,KINGS,Misdemeanor,Anti-transgender,Gender
3009,2024,May,Fri,2024-05-10,72,Brooklyn south,KINGS,Misdemeanor,Anti-jewish,Religion
3010,2024,Jun,Fri,2024-06-21,76,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
3011,2024,Sep,Mon,2024-09-23,77,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
3012,2024,May,Sat,2024-05-04,84,Brooklyn north,KINGS,Felony,Anti-jewish,Religion
3013,2024,Apr,Wed,2024-04-17,90,Brooklyn north,KINGS,Misdemeanor,Anti-male homosexual (gay),Sexual Orientation
3014,2024,Aug,Mon,2024-08-26,112,Queens north,QUEENS,Felony,Anti-jewish,Religion
3015,2024,Feb,Mon,2024-02-05,115,Queens north,QUEENS,Felony,Anti-jewish,Religion
3016,2024,Jun,Wed,2024-06-05,121,Staten island,RICHMOND,Misdemeanor,Anti-black,Race/Color
3017,2023,Apr,Tue,2023-04-25,115,Queens north,QUEENS,Misdemeanor,Anti-black,Race/Color
3018,2023,Mar,Mon,2023-03-13,122,Staten island,RICHMOND,Misdemeanor,Anti-black,Race/Color
3019,2023,Nov,Wed,2023-11-08,122,Staten island,RICHMOND,Misdemeanor,Anti-black,Race/Color
3020,2024,Mar,Mon,2024-04-08,1,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
3021,2024,Jan,Mon,2024-01-29,6,Manhattan south,NEW YORK,Misdemeanor,Anti-jewish,Religion
3022,2024,May,Mon,2024-05-06,6,Manhattan south,NEW YORK,Felony,Anti-jewish,Religion
3023,2024,Jun,Mon,2024-07-01,20,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
3024,2024,Jul,Fri,2024-07-05,24,Manhattan north,NEW YORK,Felony,Anti-jewish,Religion
3025,2024,Jul,Thu,2024-07-25,24,Manhattan north,NEW YORK,Misdemeanor,Anti-jewish,Religion
3026,2024,Sep,Wed,2024-09-18,30,Manhattan north,NEW YORK,Misdemeanor,Anti-black,Race/Color
3027,2024,Apr,Fri,2024-04-19,32,Manhattan north,NEW YORK,Violation,Anti-male homosexual (gay),Sexual Orientation
3028,2024,Mar,Mon,2024-03-18,43,Bronx,BRONX,Felony,Anti-muslim,Religion
3029,2024,Mar,Fri,2024-03-08,61,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
3030,2024,Apr,Tue,2024-05-21,61,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
3031,2024,Jun,Thu,2024-06-13,61,Brooklyn south,KINGS,Felony,Anti-jewish,Religion
